Results
n,Time (Seconds)
1,1.7881393432617188e-05
2,4.291534423828125e-05
3,0.00015592575073242188
4,0.0006868839263916016
5,0.0025758743286132812
6,0.00937795639038086
7,0.029146194458007812
8,0.11417317390441895
9,0.4544179439544678
10,2.0082619190216064
11,9.966018676757812
12,36.499316930770874
13,153.75905108451843
14,1360.0597801208496
